0.142,0.36,0.36,0.103
0.135,0.184,0.184,0.11
0.102,0.207,0.207,0.103
0.117,0.24,0.24,0.079
0.095,0.191,0.191,0.134
0.086,0.247,0.247,0.071
0.095,0.191,0.191,0.103
0.085,0.11,0.11,0.087
0.103,0.085,0.085,0.097
0.108,0.099,0.099,0.096
0.104,0.074,0.074,0.108
0.079,0.091,0.091,0.092
0.106,0.167,0.167,0.126
0.086,0.144,0.144,0.086
0.11,0.113,0.113,0.092
0.099,0.1,0.1,0.112
0.112,0.104,0.104,0.118
0.095,0.132,0.132,0.099
0.079,0.125,0.125,0.08
0.08,0.112,0.112,0.094
0.08,0.097,0.097,0.095
0.071,0.079,0.079,0.105
0.083,0.084,0.084,0.112
0.073,0.092,0.092,0.098
0.098,0.102,0.102,0.105
0.064,0.097,0.097,0.102
0.093,0.075,0.075,0.108
0.097,0.082,0.082,0.116
0.116,0.239,0.239,0.096
0.111,0.182,0.182,0.111
